Name,LATITUDE,LONGITUDE,Permit ,Permit holders allowed,Start,End,,,
Criser Hall -GS,29.650017,-82.340751,Gold/Silver,"meter, Gold, Silver",7:30am,5:30pm,,,
Tigert Hall - GS,29.6492698,-82.34058848,Gold/Silver,"Gold, Silver",7:30am,5:30pm,,,
Fine Arts C - GS,29.647453,-82.340528,Gold/Silver,"Gold, Silver",7:30am,5:30pm,,,
Yulee Reid - OR,29.647032,-82.340429,Orange,"Gold, Silver, orange",7:30am,4:30pm,,,
Cypress - OR,29.645811,-82.33956,Orange,"Gold, Silver, orange",7:30am,4:30pm,,,
Garage 4,29.645283,-82.343007,"Orange, Booster","Gold, Silver, orange, Booster",-,-,,,
McCarty - OR,29.646029,-82.344059,"Orange, Booster","Gold, Silver, orange, Booster",7:30am,4:30pm,,,
Garage 12,29.645283,-82.34835,"Gold/Silver/Visitor, Booster","Gold, Silver, Booster, day pass",-,-,,,
Murphree -R1,29.651839,-82.345595,"Gold/Silver, Booster","Gold, Silver, Booster",all day,,,,
Fletcher Drive -OR,29.65133,-82.346305,Orange,"Gold, Silver, orange",7:30am,4:30pm,,,
Murphree red one Parking,29.651872,-82.346804,red 1,"Gold, Silver, red 1",all day,all day,,,
Murphree - Red One West,29.651205,-82.347092,red 1,"Gold, Silver, red 1",all day,all day,,,
Murphree - OR,29.651197,-82.347264,orange,"Gold, Silver, orange",7:30am,4:30pm,,,
East-West Road - R1,29.650722,-82.346765,red 1,"Gold, Silver, red 1",all day,all day,,,
South End Zone Parking,29.648733,-82.348673,orange,"Gold, Silver, orange",-,-,,,
Infirmary - GS,29.648836,-82.346398,"Gold/Silver, Booster","Gold, Silver, Booster",7:30am,5:30pm,,,
O'Connell Center NW,29.651102,-82.350872,"orange, Booster","meter, Gold, Silver, orange, Booster",7:30am,3:30pm,,,
Garage 7,29.65060759,-82.35153712,"orange/green, Booster","Gold, Silver, orange, blue, green, Booster",-,-,,,
